cpu_percent,gpu_memory_utilization,gpu_utlizacion,memory_percent,pcie_rx,pcie_tx,time
47.3,1480.720384,46.0,9.317901477573946,107000000.0,9000000.0,1584504882.1771746
109.3,1480.720384,88.0,9.317926472481233,22000000.0,18000000.0,1584504882.5376503
97.0,1480.720384,90.0,9.317926472481233,108000000.0,16000000.0,1584504882.8958535
84.8,1480.720384,89.0,9.31795146738852,28000000.0,8000000.0,1584504883.277786
97.3,1480.720384,89.0,9.317976462295807,107000000.0,9000000.0,1584504883.6565752
71.5,1480.720384,40.0,9.31795146738852,106000000.0,10000000.0,1584504884.0174088
96.4,1480.720384,89.0,9.318001457203094,107000000.0,16000000.0,1584504884.3856156
107.7,1480.720384,89.0,9.318026452110383,111000000.0,17000000.0,1584504884.7672238
97.7,1480.720384,92.0,9.31805144701767,24000000.0,16000000.0,1584504885.163988
85.5,1480.720384,90.0,9.31805144701767,29000000.0,8000000.0,1584504885.5224671
96.9,1480.720384,53.0,9.31805144701767,24000000.0,9000000.0,1584504885.882237
107.6,1480.720384,90.0,9.31805144701767,22000000.0,8000000.0,1584504886.266072
102.0,1480.720384,90.0,9.31805144701767,106000000.0,9000000.0,1584504886.653955
96.9,1480.720384,90.0,9.31805144701767,24000000.0,16000000.0,1584504887.0276787
97.6,1480.720384,91.0,9.309828122520036,19000000.0,1000000.0,1584504887.3916152
108.8,1480.720384,85.0,9.314752119255703,105000000.0,10000000.0,1584504887.7775908
97.5,1480.720384,89.0,9.318076441924958,23000000.0,17000000.0,1584504888.1515236
97.8,1480.720384,92.0,9.318076441924958,28000000.0,16000000.0,1584504888.5087187
84.0,1480.720384,89.0,9.318076441924958,28000000.0,8000000.0,1584504888.8617032
94.8,1480.720384,89.0,9.310403005387652,27000000.0,0.0,1584504889.2166052
96.8,1480.720384,91.0,9.318076441924958,111000000.0,8000000.0,1584504889.6294231
97.2,1480.720384,90.0,9.318076441924958,107000000.0,9000000.0,1584504890.0028243
109.9,1480.720384,90.0,9.318076441924958,104000000.0,18000000.0,1584504890.3544054
97.5,1480.720384,90.0,9.318076441924958,22000000.0,18000000.0,1584504890.7061832
61.2,1480.720384,73.0,9.319476156733066,111000000.0,16000000.0,1584504891.0580702
98.0,1480.720384,90.0,9.318076441924958,26000000.0,9000000.0,1584504891.4321613
97.7,1480.720384,90.0,9.318076441924958,31000000.0,8000000.0,1584504891.8078046
97.9,1480.720384,90.0,9.318076441924958,111000000.0,8000000.0,1584504892.1606
97.8,1480.720384,90.0,9.318076441924958,109000000.0,9000000.0,1584504892.5107958
60.7,1480.720384,45.0,9.31805144701767,106000000.0,9000000.0,1584504892.860492
110.0,1480.720384,91.0,9.318076441924958,106000000.0,9000000.0,1584504893.2126284
98.0,1480.720384,90.0,9.318076441924958,110000000.0,17000000.0,1584504893.569142
97.9,1480.720384,90.0,9.318101436832245,25000000.0,9000000.0,1584504893.940351
98.0,1480.720384,90.0,9.318101436832245,106000000.0,9000000.0,1584504894.3118663
71.8,1480.720384,6.0,8.56023085296371,0.0,0.0,1584504894.683612
